TWEET;CREENCIA;CONFIANZA
Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link];Yes;1
Fighting poverty and global warming in Africa [link];Yes;1
Carbon offsets: How a Vatican forest failed to reduce global warming [link];Yes;0.8786
Carbon offsets: How a Vatican forest failed to reduce global warming [link];Yes;1
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link];Yes;0.8087
RT @sejorg: RT @JaymiHeimbuch: Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link];Yes;1
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link];Yes;1
Migratory Birds' New Climate Change Strategy: Stay Home [link];Yes;1
Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... [link];Yes;1
Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. [link];Yes;1
How do we solve this global warming thing? [link];Yes;0.9073
Blog|A preliminary analysis suggests that natural gas could contribute far more to global warming than previously .. [link];Yes;1
Ecotone: #Climate change from a #population perspective [link];Yes;0.5488
Climate change blamed as coastal whale migration dwindles •À_ Ventura County.. [link];Yes;0.8823
Government Report Says Global Warming May Cause Cancer, Mental Illness.  CNSNews.com -  [link];Yes;0.75
For #EarthDay Global warming could affect patient symptoms [link];Yes;1
Wait here's an idea: it's natural climate change, not human induced global warming. [link];No;0.6648
EPA issues report on U.S. climate change indicators - warming is having measurable effect across ecosystems [link];Yes;1
QUT researchers track climate change [link];Yes;0.5194
Global Warming: Ocean chemistry is changing faster than it has in 800,000 years: And that's because of the carbon ... [link];Yes;1
Topography of Mountains Could Complicate Rates of Global Warming: ScienceDaily (Apr. 25, 2010) •À_ A new study concl... [link];Yes;1
"Soaring mercury; Blame it on global warming|Agartala, Apr 14 : Environmentalists have attributed the .. [link]";Yes;1
"RT @WGofNYC Leader of National Indigenous Women's Org, ""Climate Change is Not Just abt the Climate, its abt R Lives"" bit.ly/9GdzRw";Yes;1
@GregMitch has there been any reporting on if the increase in sediment in upper atmospher could reduce global warming effect by reducing sun;Yes;0.8771
effects of global warming •À_ YouTube •À_ Effects of Global Warming Stats: Back with more news for you today. It's ama... [link];Yes;0.8887
It's global climate change-not warming. #ac Read: www.associatedcontent.com/article/2872954/global_climate_change_not_global_warming.html;Yes;0.5247
A preliminary analysis suggests that natural gas could contribute far more to global warming than previously thought. [link];Yes;1
SCIENCE: Scientists explore the evolution of climate change [link];Yes;0.7749
Eaarth: global warming is here to stay, how will we deal with it? [link];Yes;1
Allergies Worse Than Ever? Blame Global Warming [link];Yes;1
@New_federalists  i have it on good auth tht global warming also causes toe fungus.  We R all fortunate tht thr IS no global warming! #tcot;No;0.8197
Illegal war and the myth of global warming|My main campaign platform for this election will be the illegal .. [link];No;0.9183
the scientific community was scamed by global green  gov warming scam.;No;0.9336
40 degrees in NYC. please urinate on next liberal global warming /climate change scum you see.;No;1
"RT @virgiltexas: Hey Al Gore: see these tornadoes racing across Mississippi? So much for global ""warming"" #tornadocot #ocra #sgp #gop #ucot #tlot #p2 #tycot";No;1
#justinbiebersucks and global warming is a farce;No;1
One Stop Book Stop Confirmed! Global warming is 'settled' •À_ as a scam: WND.com Sussman's book, the ... [link];No;0.9174
Rationalists' who believe aliens exist & global warming=caused by humans, might as well believe in Jesus miracles,angels &fairies #tcot #p2;No;1
Proof there's no climate change. RT @jazgar 75-ft killer tsunami created in a Peruvian LAKE when a glacier fractures & falls Into the lake!;No;0.8185
@OTOOLEFAN REAL science. Not Algore's climate change 'science' hacks with their man-made global warming hoax. Gore=Palin;No;0.8892
30000 Anti-Global Warming Scientists Can't Be Wrong | Stranger ...: Nature Magazine, the academic journal that int... [link];No;0.8427
Global Warming Baloney: According to the experts at NASA, the difference between weather and climate is a measure ... [link];No;0.9368
computer forensics experts: are there still any idiots out there that belive global warming is true? [link];No;0.9318
Liberal Looney Toons: Global Warming Alarmist Comes Home With Artic Frost Bite: Gather.com they wont learn huh? lo... [link];No;1
Immigration Reform and Climate Change: A Tale of Two Issues in the Senate [link];Yes;0.7774
Peoples World: GRAND RAPIDS, Mich. - Opponents of climate change legislation typically argue that regulating globa... [link];Yes;0.6812
